A,B,Pretty Formula,predicted_structure,probability,Parent formula,parent_structure,In DB?,Experimental CN,Predicted CN,Validation
K1+,P1-,KP,"K1+ P1-
1.0
2.445665 4.304392 0.0
-2.445665 4.304392 0.0
0.0 2.913287 4.145387
K P
1 1
Cartesian
0.0 0.0 0.0 K1+
0.0 5.7610355 2.0726935 P1-
",0.009904293341701096,RbP,"P1- Rb1+
1.0
2.445665 4.304392 0.0
-2.445665 4.304392 0.0
0.0 2.913287 4.145387
P Rb
1 1
Cartesian
0.0 5.7610355 2.0726935 P1-
0.0 0.0 0.0 Rb1+
",Yes,6,6,Correct
K1+,S1-,KS,"K1+ S1-
1.0
4.482803 -7.764442 0.0
4.482803 7.764442 0.0
0.0 0.0 6.19737
K S
6 6
Cartesian
1.3640855732789998 2.362665349506 3.098685 K1+
6.237434853441999 -2.9512668420750287e-16 3.098685 K1+
1.3640855732789998 -2.362665349506 3.098685 K1+
2.870137034765 4.97122281271 0.0 K1+
3.2253319304699994 1.721675700139258e-16 0.0 K1+
2.870137034765 -4.97122281271 0.0 K1+
4.482803 -2.5881525096280003 2.0274386086500003 S1-
4.482803 -2.5881525096280003 4.1699313913500005 S1-
4.482803 2.5881525096280003 4.1699313913500005 S1-
4.482803 2.5881525096280003 2.0274386086500003 S1-
0.0 0.0 5.13320720256 S1-
0.0 0.0 1.06416279744 S1-
",0.009904293341701096,RbS,"Rb1+ S1-
1.0
4.482803 -7.764442 0.0
4.482803 7.764442 0.0
0.0 0.0 6.19737
Rb S
6 6
Cartesian
1.3640855732789998 2.362665349506 3.098685 Rb1+
6.237434853441999 -2.9512668420750287e-16 3.098685 Rb1+
1.3640855732789998 -2.362665349506 3.098685 Rb1+
2.870137034765 4.97122281271 0.0 Rb1+
3.2253319304699994 1.721675700139258e-16 0.0 Rb1+
2.870137034765 -4.97122281271 0.0 Rb1+
4.482803 -2.5881525096280003 2.0274386086500003 S1-
4.482803 -2.5881525096280003 4.1699313913500005 S1-
4.482803 2.5881525096280003 4.1699313913500005 S1-
4.482803 2.5881525096280003 2.0274386086500003 S1-
0.0 0.0 5.13320720256 S1-
0.0 0.0 1.06416279744 S1-
",Yes,6,6,Correct
K1+,Cl1-,KCl,"Cl1- K1+
1.0
0.0 3.349364 3.349364
3.349364 0.0 3.349364
3.349364 3.349364 0.0
Cl K
1 1
Cartesian
3.349364 3.349364 3.349364 Cl1-
0.0 0.0 0.0 K1+
",0.009904293341701096,RbCl,"Cl1- Rb1+
1.0
0.0 3.349364 3.349364
3.349364 0.0 3.349364
3.349364 3.349364 0.0
Cl Rb
1 1
Cartesian
3.349364 3.349364 3.349364 Cl1-
0.0 0.0 0.0 Rb1+
",Yes,6,6,Correct
K1+,Br1-,KBr,"Br1- K1+
1.0
0.0 3.513965 3.513965
3.513965 0.0 3.513965
3.513965 3.513965 0.0
Br K
1 1
Cartesian
3.513965 3.513965 3.513965 Br1-
0.0 0.0 0.0 K1+
",0.009904293341701096,RbBr,"Br1- Rb1+
1.0
0.0 3.513965 3.513965
3.513965 0.0 3.513965
3.513965 3.513965 0.0
Br Rb
1 1
Cartesian
3.513965 3.513965 3.513965 Br1-
0.0 0.0 0.0 Rb1+
",Yes,6,6,Correct
K1+,I1-,KI,"I1- K1+
1.0
0.0 3.743926 3.743926
3.743926 0.0 3.743926
3.743926 3.743926 0.0
I K
1 1
Cartesian
3.743926 3.743926 3.743926 I1-
0.0 0.0 0.0 K1+
",0.009904293341701096,RbI,"I1- Rb1+
1.0
0.0 3.743926 3.743926
3.743926 0.0 3.743926
3.743926 3.743926 0.0
I Rb
1 1
Cartesian
3.743926 3.743926 3.743926 I1-
0.0 0.0 0.0 Rb1+
",Yes,6,6,Correct
Ca2+,O2-,CaO,"Ca2+ O2-
1.0
0.0 2.603076 2.603076
2.603076 0.0 2.603076
2.603076 2.603076 0.0
Ca O
1 1
Cartesian
2.603076 2.603076 2.603076 Ca2+
0.0 0.0 0.0 O2-
",0.009310815860099698,SrO,"O2- Sr2+
1.0
0.0 2.603076 2.603076
2.603076 0.0 2.603076
2.603076 2.603076 0.0
O Sr
1 1
Cartesian
0.0 0.0 0.0 O2-
2.603076 2.603076 2.603076 Sr2+
",Yes,6,6,Correct
Ca2+,Si2-,CaSi,"Ca2+ Si2-
1.0
2.414988 -5.652197 0.0
2.414988 5.652197 0.0
0.0 0.0 4.077626
Ca Si
2 2
Cartesian
2.414988 1.567478576434 1.0194065 Ca2+
2.414988 -1.5674785764340002 3.0582195000000003 Ca2+
2.414988 4.934492329334 1.0194065 Si2-
2.414988 -4.934492329334 3.0582195000000003 Si2-
",0.009310815860099698,SrSi,"Si2- Sr2+
1.0
2.414988 -5.652197 0.0
2.414988 5.652197 0.0
0.0 0.0 4.077626
Si Sr
2 2
Cartesian
2.414988 4.934492329334 1.0194065 Si2-
2.414988 -4.934492329334 3.0582195000000003 Si2-
2.414988 1.567478576434 1.0194065 Sr2+
2.414988 -1.5674785764340002 3.0582195000000003 Sr2+
",Yes,7,7,Correct
Ca2+,P2-,CaP,"Ca2+ P2-
1.0
4.050193 -7.01514 0.0
4.050193 7.01514 0.0
0.0 0.0 6.050517
Ca P
6 6
Cartesian
2.5956633886820004 4.495820832360001 3.0252585 Ca2+
2.909059222636 -6.684851548754978e-17 3.0252585 Ca2+
2.5956633886820004 -4.495820832360001 3.0252585 Ca2+
1.238342459557 2.14487203986 0.0 Ca2+
5.623701080886 -1.7228885639042345e-16 0.0 Ca2+
1.238342459557 -2.14487203986 0.0 Ca2+
4.050193 -2.3383846767599996 1.1608703431710001 P2-
4.050193 -2.3383846767599996 4.889646656829 P2-
4.050193 2.3383846767599996 4.889646656829 P2-
4.050193 2.3383846767599996 1.1608703431710001 P2-
0.0 0.0 4.155942813858 P2-
0.0 0.0 1.8945741861420002 P2-
",0.009310815860099698,SrP,"P2- Sr2+
1.0
4.050193 -7.01514 0.0
4.050193 7.01514 0.0
0.0 0.0 6.050517
P Sr
6 6
Cartesian
4.050193 -2.3383846767599996 1.1608703431710001 P2-
4.050193 -2.3383846767599996 4.889646656829 P2-
4.050193 2.3383846767599996 4.889646656829 P2-
4.050193 2.3383846767599996 1.1608703431710001 P2-
0.0 0.0 4.155942813858 P2-
0.0 0.0 1.8945741861420002 P2-
2.5956633886820004 4.495820832360001 3.0252585 Sr2+
2.909059222636 -6.684851548754978e-17 3.0252585 Sr2+
2.5956633886820004 -4.495820832360001 3.0252585 Sr2+
1.238342459557 2.14487203986 0.0 Sr2+
5.623701080886 -1.7228885639042345e-16 0.0 Sr2+
1.238342459557 -2.14487203986 0.0 Sr2+
",Yes,6,6,Correct
Ca2+,S2-,CaS,"Ca2+ S2-
1.0
0.0 3.031729 3.031729
3.031729 0.0 3.031729
3.031729 3.031729 0.0
Ca S
1 1
Cartesian
0.0 0.0 0.0 Ca2+
3.031729 3.031729 3.031729 S2-
",0.009310815860099698,SrS,"S2- Sr2+
1.0
0.0 3.031729 3.031729
3.031729 0.0 3.031729
3.031729 3.031729 0.0
S Sr
1 1
Cartesian
3.031729 3.031729 3.031729 S2-
0.0 0.0 0.0 Sr2+
",Yes,6,6,Correct
Ca2+,Ge2-,CaGe,"Ca2+ Ge2-
1.0
2.426801 -5.739058 0.0
2.426801 5.739058 0.0
0.0 0.0 4.22178
Ca Ge
2 2
Cartesian
2.426801 -4.168312259747999 3.166335 Ca2+
2.426801 4.168312259747999 1.055445 Ca2+
2.426801 -0.8125817441040003 3.166335 Ge2-
2.426801 0.8125817441040003 1.055445 Ge2-
",0.009310815860099698,SrGe,"Ge2- Sr2+
1.0
2.426801 -5.739058 0.0
2.426801 5.739058 0.0
0.0 0.0 4.22178
Ge Sr
2 2
Cartesian
2.426801 -0.8125817441040003 3.166335 Ge2-
2.426801 0.8125817441040003 1.055445 Ge2-
2.426801 -4.168312259747999 3.166335 Sr2+
2.426801 4.168312259747999 1.055445 Sr2+
",Yes,7,7,Correct
Ca2+,Se2-,CaSe,"Ca2+ Se2-
1.0
0.0 3.151925 3.151925
3.151925 0.0 3.151925
3.151925 3.151925 0.0
Ca Se
1 1
Cartesian
0.0 0.0 0.0 Ca2+
3.151925 3.151925 3.151925 Se2-
",0.009310815860099698,SrSe,"Se2- Sr2+
1.0
0.0 3.151925 3.151925
3.151925 0.0 3.151925
3.151925 3.151925 0.0
Se Sr
1 1
Cartesian
3.151925 3.151925 3.151925 Se2-
0.0 0.0 0.0 Sr2+
",Yes,6,6,Correct
Ca2+,Te2-,CaTe,"Ca2+ Te2-
1.0
0.0 3.362074 3.362074
3.362074 0.0 3.362074
3.362074 3.362074 0.0
Ca Te
1 1
Cartesian
0.0 0.0 0.0 Ca2+
3.362074 3.362074 3.362074 Te2-
",0.009310815860099698,SrTe,"Sr2+ Te2-
1.0
0.0 3.362074 3.362074
3.362074 0.0 3.362074
3.362074 3.362074 0.0
Sr Te
1 1
Cartesian
0.0 0.0 0.0 Sr2+
3.362074 3.362074 3.362074 Te2-
",Yes,6,6,Correct
Sc3+,C3-,ScC,"C3- Sc3+
1.0
0.0 2.546875 2.546875
2.546875 0.0 2.546875
2.546875 2.546875 0.0
C Sc
1 1
Cartesian
2.546875 2.546875 2.546875 C3-
0.0 0.0 0.0 Sc3+
",0.008593717909576441,YC,"C3- Y3+
1.0
0.0 2.546875 2.546875
2.546875 0.0 2.546875
2.546875 2.546875 0.0
C Y
1 1
Cartesian
2.546875 2.546875 2.546875 C3-
0.0 0.0 0.0 Y3+
",Yes,6,6,Correct
Sc3+,N3-,ScN,"N3- Sc3+
1.0
0.0 2.45955 2.45955
2.45955 0.0 2.45955
2.45955 2.45955 0.0
N Sc
1 1
Cartesian
2.45955 2.45955 2.45955 N3-
0.0 0.0 0.0 Sc3+
",0.008593717909576441,YN,"N3- Y3+
1.0
0.0 2.45955 2.45955
2.45955 0.0 2.45955
2.45955 2.45955 0.0
N Y
1 1
Cartesian
2.45955 2.45955 2.45955 N3-
0.0 0.0 0.0 Y3+
",Yes,6,6,Correct
Sc2+,O2-,ScO,"O2- Sc2+
1.0
0.0 2.610837 2.610837
2.610837 0.0 2.610837
2.610837 2.610837 0.0
O Sc
1 1
Cartesian
0.0 0.0 0.0 O2-
2.610837 2.610837 2.610837 Sc2+
",0.008103711303712163,ScS,"S2- Sc2+
1.0
0.0 2.610837 2.610837
2.610837 0.0 2.610837
2.610837 2.610837 0.0
S Sc
1 1
Cartesian
0.0 0.0 0.0 S2-
2.610837 2.610837 2.610837 Sc2+
",Yes,6,6,Correct
Sc3+,P3-,ScP,"P3- Sc3+
1.0
0.0 2.839866 2.839866
2.839866 0.0 2.839866
2.839866 2.839866 0.0
P Sc
1 1
Cartesian
2.839866 2.839866 2.839866 P3-
0.0 0.0 0.0 Sc3+
",0.008593717909576441,YP,"P3- Y3+
1.0
0.0 2.839866 2.839866
2.839866 0.0 2.839866
2.839866 2.839866 0.0
P Y
1 1
Cartesian
2.839866 2.839866 2.839866 P3-
0.0 0.0 0.0 Y3+
",Yes,6,6,Correct
Sc2+,S2-,ScS,"S2- Sc2+
1.0
1.636941 -2.835264 0.0
1.636941 2.835264 0.0
0.0 0.0 3.219077
S Sc
1 1
Cartesian
0.0 0.0 1.6095385 S2-
1.636941 -0.945089890176 0.0 Sc2+
",0.00803161033329833,TiS,"S2- Ti2+
1.0
1.636941 -2.835264 0.0
1.636941 2.835264 0.0
0.0 0.0 3.219077
S Ti
1 1
Cartesian
0.0 0.0 1.6095385 S2-
1.636941 -0.945089890176 0.0 Ti2+
",Yes,6,6,Correct
Sc1+,Cl1-,ScCl,"Cl1- Sc1+
1.0
9.494725 -1.882446 0.0
9.494725 1.882446 0.0
9.121507 0.0 3.239061
Cl Sc
2 2
Cartesian
10.940672020572 -3.7827477669338806e-17 1.2606295849559999 Cl1-
17.170284979428 3.7827477669338806e-17 1.978431415044 Cl1-
6.0833516495849995 -2.5020154499344472e-17 0.7009489957049999 Sc1+
22.027605350415 2.1757375563424833e-17 2.5381120042950003 Sc1+
",0.008593717909576441,YCl,"Cl1- Y1+
1.0
9.494725 -1.882446 0.0
9.494725 1.882446 0.0
9.121507 0.0 3.239061
Cl Y
2 2
Cartesian
10.940672020572 -3.7827477669338806e-17 1.2606295849559999 Cl1-
17.170284979428 3.7827477669338806e-17 1.978431415044 Cl1-
6.0833516495849995 -2.5020154499344472e-17 0.7009489957049999 Y1+
22.027605350415 2.1757375563424833e-17 2.5381120042950003 Y1+
",Yes,3,3,Correct
Sc3+,As3-,ScAs,"As3- Sc3+
1.0
0.0 2.918152 2.918152
2.918152 0.0 2.918152
2.918152 2.918152 0.0
As Sc
1 1
Cartesian
2.918152 2.918152 2.918152 As3-
0.0 0.0 0.0 Sc3+
",0.008593717909576441,YAs,"As3- Y3+
1.0
0.0 2.918152 2.918152
2.918152 0.0 2.918152
2.918152 2.918152 0.0
As Y
1 1
Cartesian
2.918152 2.918152 2.918152 As3-
0.0 0.0 0.0 Y3+
",Yes,6,6,Correct
Sc2+,Se2-,ScSe,"Sc2+ Se2-
1.0
3.480932 0.0 0.0
0.0 6.259413 0.0
0.0 0.0 6.495951
Sc Se
4 4
Cartesian
0.870233 4.343287751853 3.291063142983 Sc2+
0.870233 5.045831748147 0.043087642982999996 Sc2+
2.6106990000000003 1.916125248147 3.204887857017 Sc2+
2.6106990000000003 1.213581251853 6.452863357017 Sc2+
2.6106990000000003 5.76122631933 1.8419204100989999 Se2-
0.870233 0.49818668067 4.654030589901 Se2-
0.870233 2.6315198193300002 1.406055089901 Se2-
2.6106990000000003 3.6278931806700006 5.089895910099 Se2-
",0.00803161033329833,TiSe,"Se2- Ti2+
1.0
3.480932 0.0 0.0
0.0 6.259413 0.0
0.0 0.0 6.495951
Se Ti
4 4
Cartesian
2.6106990000000003 5.76122631933 1.8419204100989999 Se2-
0.870233 0.49818668067 4.654030589901 Se2-
0.870233 2.6315198193300002 1.406055089901 Se2-
2.6106990000000003 3.6278931806700006 5.089895910099 Se2-
0.870233 4.343287751853 3.291063142983 Ti2+
0.870233 5.045831748147 0.043087642982999996 Ti2+
2.6106990000000003 1.916125248147 3.204887857017 Ti2+
2.6106990000000003 1.213581251853 6.452863357017 Ti2+
",Yes,6,6,Correct
Sc3+,Sb3-,ScSb,"Sb3- Sc3+
1.0
0.0 3.107532 3.107532
3.107532 0.0 3.107532
3.107532 3.107532 0.0
Sb Sc
1 1
Cartesian
0.0 0.0 0.0 Sb3-
3.107532 3.107532 3.107532 Sc3+
",0.008593717909576441,YSb,"Sb3- Y3+
1.0
0.0 3.107532 3.107532
3.107532 0.0 3.107532
3.107532 3.107532 0.0
Sb Y
1 1
Cartesian
0.0 0.0 0.0 Sb3-
3.107532 3.107532 3.107532 Y3+
",Yes,6,6,Correct
Sc2+,Te2-,ScTe,"Sc2+ Te2-
1.0
1.835455 -3.179102 0.0
1.835455 3.179102 0.0
0.0 0.0 7.302053
Sc Te
2 2
Cartesian
0.0 0.0 3.6510265 Sc2+
0.0 0.0 0.0 Sc2+
1.835455 1.0597027860680002 1.82551325 Te2-
1.835455 -1.0597027860680002 5.47653975 Te2-
",0.00803161033329833,TiTe,"Te2- Ti2+
1.0
1.835455 -3.179102 0.0
1.835455 3.179102 0.0
0.0 0.0 7.302053
Te Ti
2 2
Cartesian
1.835455 1.0597027860680002 1.82551325 Te2-
1.835455 -1.0597027860680002 5.47653975 Te2-
0.0 0.0 3.6510265 Ti2+
0.0 0.0 0.0 Ti2+
",Yes,6,6,Correct
Ti4+,C4-,TiC,"C4- Ti4+
1.0
0.0 2.36217 2.36217
2.36217 0.0 2.36217
2.36217 2.36217 0.0
C Ti
1 1
Cartesian
2.36217 2.36217 2.36217 C4-
0.0 0.0 0.0 Ti4+
",0.008135829135792656,ZrC,"C4- Zr4+
1.0
0.0 2.36217 2.36217
2.36217 0.0 2.36217
2.36217 2.36217 0.0
C Zr
1 1
Cartesian
2.36217 2.36217 2.36217 C4-
0.0 0.0 0.0 Zr4+
",Yes,6,6,Correct
Ti3+,N3-,TiN,"N3- Ti3+
1.0
0.0 2.259155 2.259155
2.259155 0.0 2.259155
2.259155 2.259155 0.0
N Ti
1 1
Cartesian
2.259155 2.259155 2.259155 N3-
0.0 0.0 0.0 Ti3+
",0.008304737686915793,ScN,"N3- Sc3+
1.0
0.0 2.259155 2.259155
2.259155 0.0 2.259155
2.259155 2.259155 0.0
N Sc
1 1
Cartesian
2.259155 2.259155 2.259155 N3-
0.0 0.0 0.0 Sc3+
",Yes,6,6,Correct
Ti2+,O2-,TiO,"O2- Ti2+
1.0
0.0 2.239917 2.239917
2.239917 0.0 2.239917
2.239917 2.239917 0.0
O Ti
1 1
Cartesian
2.239917 2.239917 2.239917 O2-
0.0 0.0 0.0 Ti2+
",0.008304737686915793,ScO,"O2- Sc2+
1.0
0.0 2.239917 2.239917
2.239917 0.0 2.239917
2.239917 2.239917 0.0
O Sc
1 1
Cartesian
2.239917 2.239917 2.239917 O2-
0.0 0.0 0.0 Sc2+
",Yes,5,6,Incorrect
Ti4+,Si4-,TiSi,"Si4- Ti4+
1.0
3.803331 0.0 0.0
0.0 5.328118 0.0
0.0 0.0 7.030146
Si Ti
4 4
Cartesian
0.95083275 3.4004795012519997 0.304749798954 Si4-
2.85249825 1.927638498748 6.725396201046 Si4-
2.85249825 0.736420501252 3.210323201046 Si4-
0.95083275 4.591697498748 3.819822798954 Si4-
0.95083275 0.66438967401 1.234374125118 Ti4+
2.85249825 4.66372832599 5.795771874882 Ti4+
2.85249825 3.32844867401 2.2806988748820003 Ti4+
0.95083275 1.99966932599 4.749447125118 Ti4+
",0.008135829135792656,ZrSi,"Si4- Zr4+
1.0
3.803331 0.0 0.0
0.0 5.328118 0.0
0.0 0.0 7.030146
Si Zr
4 4
Cartesian
0.95083275 3.4004795012519997 0.304749798954 Si4-
2.85249825 1.927638498748 6.725396201046 Si4-
2.85249825 0.736420501252 3.210323201046 Si4-
0.95083275 4.591697498748 3.819822798954 Si4-
0.95083275 0.66438967401 1.234374125118 Zr4+
2.85249825 4.66372832599 5.795771874882 Zr4+
2.85249825 3.32844867401 2.2806988748820003 Zr4+
0.95083275 1.99966932599 4.749447125118 Zr4+
",Yes,9,9,Correct
Ti3+,P3-,TiP,"P3- Ti3+
1.0
0.0 2.658474 2.658474
2.658474 0.0 2.658474
2.658474 2.658474 0.0
P Ti
1 1
Cartesian
2.658474 2.658474 2.658474 P3-
0.0 0.0 0.0 Ti3+
",0.008304737686915793,ScP,"P3- Sc3+
1.0
0.0 2.658474 2.658474
2.658474 0.0 2.658474
2.658474 2.658474 0.0
P Sc
1 1
Cartesian
2.658474 2.658474 2.658474 P3-
0.0 0.0 0.0 Sc3+
",Yes,6,6,Correct
Ti2+,S2-,TiS,"S2- Ti2+
1.0
0.0 2.610837 2.610837
2.610837 0.0 2.610837
2.610837 2.610837 0.0
S Ti
1 1
Cartesian
0.0 0.0 0.0 S2-
2.610837 2.610837 2.610837 Ti2+
",0.008304737686915793,ScS,"S2- Sc2+
1.0
0.0 2.610837 2.610837
2.610837 0.0 2.610837
2.610837 2.610837 0.0
S Sc
1 1
Cartesian
0.0 0.0 0.0 S2-
2.610837 2.610837 2.610837 Sc2+
",Yes,6,6,Correct
Ti3+,As3-,TiAs,"As3- Ti3+
1.0
0.0 2.744775 2.744775
2.744775 0.0 2.744775
2.744775 2.744775 0.0
As Ti
1 1
Cartesian
2.744775 2.744775 2.744775 As3-
0.0 0.0 0.0 Ti3+
",0.008304737686915793,ScAs,"As3- Sc3+
1.0
0.0 2.744775 2.744775
2.744775 0.0 2.744775
2.744775 2.744775 0.0
As Sc
1 1
Cartesian
2.744775 2.744775 2.744775 As3-
0.0 0.0 0.0 Sc3+
",Yes,6,6,Correct
Ti2+,Se2-,TiSe,"Se2- Ti2+
1.0
0.0 2.739877 2.739877
2.739877 0.0 2.739877
2.739877 2.739877 0.0
Se Ti
1 1
Cartesian
2.739877 2.739877 2.739877 Se2-
0.0 0.0 0.0 Ti2+
",0.008304737686915793,ScSe,"Sc2+ Se2-
1.0
0.0 2.739877 2.739877
2.739877 0.0 2.739877
2.739877 2.739877 0.0
Sc Se
1 1
Cartesian
0.0 0.0 0.0 Sc2+
2.739877 2.739877 2.739877 Se2-
",Yes,6,6,Correct
Ti3+,Sb3-,TiSb,"Sb3- Ti3+
1.0
0.0 2.94622 2.94622
2.94622 0.0 2.94622
2.94622 2.94622 0.0
Sb Ti
1 1
Cartesian
2.94622 2.94622 2.94622 Sb3-
0.0 0.0 0.0 Ti3+
",0.008304737686915793,ScSb,"Sb3- Sc3+
1.0
0.0 2.94622 2.94622
2.94622 0.0 2.94622
2.94622 2.94622 0.0
Sb Sc
1 1
Cartesian
2.94622 2.94622 2.94622 Sb3-
0.0 0.0 0.0 Sc3+
",Yes,6,6,Correct
Ti2+,Te2-,TiTe,"Te2- Ti2+
1.0
2.072241 -3.589227 0.0
2.072241 3.589227 0.0
0.0 0.0 6.939307
Te Ti
2 2
Cartesian
2.072241 1.1964113928180002 1.73482675 Te2-
2.072241 -1.196411392818 5.2044802500000005 Te2-
0.0 0.0 0.0 Ti2+
0.0 0.0 3.4696535 Ti2+
",0.008304737686915793,ScTe,"Sc2+ Te2-
1.0
2.072241 -3.589227 0.0
2.072241 3.589227 0.0
0.0 0.0 6.939307
Sc Te
2 2
Cartesian
0.0 0.0 0.0 Sc2+
0.0 0.0 3.4696535 Sc2+
2.072241 1.1964113928180002 1.73482675 Te2-
2.072241 -1.196411392818 5.2044802500000005 Te2-
",Yes,6,6,Correct
V4+,C4-,VC,"C4- V4+
1.0
0.0 2.167825 2.167825
2.167825 0.0 2.167825
2.167825 2.167825 0.0
C V
1 1
Cartesian
2.167825 2.167825 2.167825 C4-
0.0 0.0 0.0 V4+
",0.008182156442282016,TiC,"C4- Ti4+
1.0
0.0 2.167825 2.167825
2.167825 0.0 2.167825
2.167825 2.167825 0.0
C Ti
1 1
Cartesian
2.167825 2.167825 2.167825 C4-
0.0 0.0 0.0 Ti4+
",Yes,6,6,Correct
V3+,N3-,VN,"N3- V3+
1.0
0.0 2.126767 2.126767
2.126767 0.0 2.126767
2.126767 2.126767 0.0
N V
1 1
Cartesian
0.0 0.0 0.0 N3-
2.126767 2.126767 2.126767 V3+
",0.008182156442282016,TiN,"N3- Ti3+
1.0
0.0 2.126767 2.126767
2.126767 0.0 2.126767
2.126767 2.126767 0.0
N Ti
1 1
Cartesian
0.0 0.0 0.0 N3-
2.126767 2.126767 2.126767 Ti3+
",Yes,6,6,Correct
V2+,O2-,VO,"O2- V2+
1.0
2.509267 -4.346179 0.0
2.509267 4.346179 0.0
0.0 0.0 2.882
O V
3 3
Cartesian
3.041392197088 -2.0265378643813392e-16 0.0 O2-
0.9885709014559999 -1.712255448272 0.0 O2-
0.9885709014559999 1.712255448272 0.0 O2-
2.509267 -1.4487292307860002 1.441 V2+
2.509267 1.4487292307860002 1.441 V2+
0.0 0.0 0.0 V2+
",0.008182156442282016,TiO,"O2- Ti2+
1.0
2.509267 -4.346179 0.0
2.509267 4.346179 0.0
0.0 0.0 2.882
O Ti
3 3
Cartesian
3.041392197088 -2.0265378643813392e-16 0.0 O2-
0.9885709014559999 -1.712255448272 0.0 O2-
0.9885709014559999 1.712255448272 0.0 O2-
2.509267 -1.4487292307860002 1.441 Ti2+
2.509267 1.4487292307860002 1.441 Ti2+
0.0 0.0 0.0 Ti2+
",Yes,6,5,Incorrect
V3+,P3-,VP,"P3- V3+
1.0
1.747976 -3.027584 0.0
1.747976 3.027584 0.0
0.0 0.0 11.725349
P V
4 4
Cartesian
1.747976 -1.009196685056 2.93133725 P3-
1.747976 1.0091966850560001 8.79401175 P3-
0.0 0.0 5.8626745 P3-
0.0 0.0 0.0 P3-
1.747976 1.0091966850560001 4.499180566186 V3+
1.747976 -1.009196685056 10.361855066186 V3+
1.747976 -1.009196685056 7.226168433813999 V3+
1.747976 1.0091966850560001 1.363493933814 V3+
",0.008182156442282016,TiP,"P3- Ti3+
1.0
1.747976 -3.027584 0.0
1.747976 3.027584 0.0
0.0 0.0 11.725349
P Ti
4 4
Cartesian
1.747976 -1.009196685056 2.93133725 P3-
1.747976 1.0091966850560001 8.79401175 P3-
0.0 0.0 5.8626745 P3-
0.0 0.0 0.0 P3-
1.747976 1.0091966850560001 4.499180566186 Ti3+
1.747976 -1.009196685056 10.361855066186 Ti3+
1.747976 -1.009196685056 7.226168433813999 Ti3+
1.747976 1.0091966850560001 1.363493933814 Ti3+
",Yes,6,6,Correct
V2+,S2-,VS,"S2- V2+
1.0
1.636941 -2.835264 0.0
1.636941 2.835264 0.0
0.0 0.0 3.219077
S V
1 1
Cartesian
0.0 0.0 1.6095385 S2-
1.636941 -0.945089890176 0.0 V2+
",0.008182156442282016,TiS,"S2- Ti2+
1.0
1.636941 -2.835264 0.0
1.636941 2.835264 0.0
0.0 0.0 3.219077
S Ti
1 1
Cartesian
0.0 0.0 1.6095385 S2-
1.636941 -0.945089890176 0.0 Ti2+
",Yes,6,6,Correct
V3+,As3-,VAs,"As3- V3+
1.0
1.824508 -3.16014 0.0
1.824508 3.16014 0.0
0.0 0.0 12.118486
As V
4 4
Cartesian
0.0 0.0 0.0 As3-
0.0 0.0 6.059243 As3-
1.824508 1.05338210676 9.0888645 As3-
1.824508 -1.05338210676 3.0296215 As3-
1.824508 1.05338210676 1.4183112459820002 V3+
1.824508 -1.05338210676 7.477554245982 V3+
1.824508 -1.05338210676 10.700174754018 V3+
1.824508 1.05338210676 4.640931754018 V3+
",0.008182156442282016,TiAs,"As3- Ti3+
1.0
1.824508 -3.16014 0.0
1.824508 3.16014 0.0
0.0 0.0 12.118486
As Ti
4 4
Cartesian
0.0 0.0 0.0 As3-
0.0 0.0 6.059243 As3-
1.824508 1.05338210676 9.0888645 As3-
1.824508 -1.05338210676 3.0296215 As3-
1.824508 1.05338210676 1.4183112459820002 Ti3+
1.824508 -1.05338210676 7.477554245982 Ti3+
1.824508 -1.05338210676 10.700174754018 Ti3+
1.824508 1.05338210676 4.640931754018 Ti3+
",Yes,6,6,Correct
V2+,Se2-,VSe,"Se2- V2+
1.0
3.480932 0.0 0.0
0.0 6.259413 0.0
0.0 0.0 6.495951
Se V
4 4
Cartesian
2.6106990000000003 5.76122631933 1.8419204100989999 Se2-
0.870233 0.49818668067 4.654030589901 Se2-
0.870233 2.6315198193300002 1.406055089901 Se2-
2.6106990000000003 3.6278931806700006 5.089895910099 Se2-
0.870233 4.343287751853 3.291063142983 V2+
0.870233 5.045831748147 0.043087642982999996 V2+
2.6106990000000003 1.916125248147 3.204887857017 V2+
2.6106990000000003 1.213581251853 6.452863357017 V2+
",0.008182156442282016,TiSe,"Se2- Ti2+
1.0
3.480932 0.0 0.0
0.0 6.259413 0.0
0.0 0.0 6.495951
Se Ti
4 4
Cartesian
2.6106990000000003 5.76122631933 1.8419204100989999 Se2-
0.870233 0.49818668067 4.654030589901 Se2-
0.870233 2.6315198193300002 1.406055089901 Se2-
2.6106990000000003 3.6278931806700006 5.089895910099 Se2-
0.870233 4.343287751853 3.291063142983 Ti2+
0.870233 5.045831748147 0.043087642982999996 Ti2+
2.6106990000000003 1.916125248147 3.204887857017 Ti2+
2.6106990000000003 1.213581251853 6.452863357017 Ti2+
",Yes,4,6,Incorrect
